group,country.code,country,region,ex.rate,lcu.stim,usd.conv,gdp.2018,gdp.share,total.stim.usd,individuals.households,health,business,deferrals,loans.guarantees,uncategorized.other
,AFG,Afghanistan,ASIA,72.08324718,8000000000,110982791.6,19362969582,0.005,96814847.91,,19362969.58,,,,77451878.33
,AGO,Angola,MAF,252.8557477,,,1.06E+11,,40000000.00,,40000000.00,,,,0.00
,ALB,Albania,OECD90+EU,107.9891667,45000000000,416708466.1,15102500898,0.028,422870025.08,-,32410658.48,125012539.80,-,240764891.50,24681935.30
,ARE,United Arab Emirates,MAF,3.6725,26500000000,7215793057,4.14E+11,,7215793056.50,-,-,-,-,-,7215793057.00
G20,ARG,Argentina,LAM,28.09499167,,0,5.20E+11,0.049,20300000000.00,11000000000.00,1000000000.00,-,-,8300000000.00,
,ARM,Armenia,REF,482.9879466,,0,12433089919,,137900000.00,,,,,,137900000.00
G20,AUS,Australia,OECD90+EU,1.338412146,2.29E+11,1.71E+11,1.43E+12,,133000000000.00,107000000000.00,3000000000.00,-,-,23000000000.00,
,AUT,Austria,OECD90+EU,0.92,45000000000,48913043478,4.55E+11,0.09,48913043478.26,,4347826087.00,,10869565217.00,9782608.70,33685869565.00
,AZE,Azerbaijan,REF,1.700016667,,0,46939529412,,1946039744.71,,4882305.08,1941157440.00,,,0.00
,BDI,Burundi,MAF,1782.876875,,0,3036931818,0.026,78960227.27,26300000.00,,,,,52660227.27
,BEL,Belgium,OECD90+EU,0.92,66300000000,72065217391,5.43E+11,0.135,74065217390.00,4673913043.00,2000000000.00,-,-,56521739130.00,10869565217.00
,BEN,Benin,MAF,555.4464584,1.50E+11,270053031.6,10354274635,0.001,270053031.63,90017677.21,108021212.70,72014141.77,,,0.00
,BFA,Burkina Faso,MAF,555.7178304,,0,14124775069,,0.00,,,,,,0.00
,BGD,Bangladesh,ASIA,83.46620192,,0,2.74E+11,,7277197069.20,448085562.10,-,599044869.10,-,6230066638.00,0.00
,BGR,Bulgaria,OECD90+EU,1.657041667,,0,65132951116,0.021,4100000000.00,900000000.00,300000000.00,-,300000000.00,2600000000.00,0.00
,BHR,Bahrain,MAF,0.376,560000000,1489361702,37746196809,0.042,1585340265.96,14627659.57,470744680.90,,,,1099967926.00
,BHS,Bahamas,LAM,1,65700000,65700000,12424500000,0.006,74547000.00,11800000.00,4000000.00,,30000000.00,20000000.00,8747000.00
