country.code,country,region,ex.rate,lcu.stim,usd.conv,gdp.2018,gdp.share,total.stim.usd,individuals.households,health,business,deferrals,loans.guarantees,uncategorized.other
AFG,Afghanistan,ASIA,72.08324718,8000000000,110982791.6,19362969582,0.005,96814847.91,,19362969.58,,,,77451878.33
ALB,Albania,OECD90+EU,107.9891667,45000000000,416708466.1,15102500898,0.028,422870025.2,,32410658.48,125012539.8,,240764891.5,24681935.3
DZA,Algeria,MAF,116.5937917,0,0,1.74E+11,0,0,,,,,,0
AGO,Angola,MAF,252.8557477,,,1.06E+11,,40000000,,40000000,,,,0
ARG,Argentina,LAM,28.09499167,,0,5.20E+11,0.035,3701284567,,,,,,3701284567
ARM,Armenia,REF,482.9879466,,0,12433089919,,137900000,,,,,,137900000
AUS,Australia,OECD90+EU,1.338412146,1.94E+11,1.45E+11,1.43E+12,0.099,1.42E+11,96071591350,,,,,45884939152
AUT,Austria,OECD90+EU,0.92,45000000000,48913043478,4.55E+11,0.09,48913043478,,4347826087,,10869565217,9782608.696,33685869565
AZE,Azerbaijan,REF,1.700016667,,0,46939529412,,0,,,,,,0
BHS,Bahamas,LAM,1,65700000,65700000,12424500000,0.006,74547000,11800000,4000000,,30000000,20000000,8747000
BHR,Bahrain,MAF,0.376,560000000,1489361702,37746196809,0.042,1585340266,14627659.57,470744680.9,,,,1099967926
BGD,Bangladesh,ASIA,83.46620192,,0,2.74E+11,,7037579122,448085562.1,,599044869.1,,5990448691,0
BRB,Barbados,LAM,2,,0,5145000000,,0,,,,,,0
BLR,Belarus,REF,2.037608333,,0,59662495092,,0,,,,,,0
BEL,Belgium,OECD90+EU,0.92,66300000000,72065217391,5.43E+11,0.135,72065217391,4673913043,,,,56521739130,10869565217
BLZ,Belize,LAM,2,25000000,12500000,1871203164,0.01,18712031.64,,,,,,18712031.64
BEN,Benin,MAF,555.4464584,10000000000,18003535.44,10354274635,0.001,10354274.63,,,,,,10354274.63
BTN,Bhutan,ASIA,NA,,#VALUE!,2446674101,,26000000,,26000000,,,,0
BOL,Bolivia,LAM,6.91,,0,40287647757,,419000000,,200000000,219000000,,,0
BIH,Bosnia and Herzegovina,OECD90+EU,1.656985441,1178000000,710929601.9,20161865419,0.058427133,1178000000,,18105168.13,,,301752802.2,858142029.7
BWA,Botswana,MAF,10.199975,2000000000,196078912,18616018903,0.011,204776207.9,,46568741.59,,,98039455.98,60168010.37
BRA,Brazil,LAM,3.653825361,,0,1.87E+12,0.08,1.49E+11,,,,,,1.49E+11
BRN,Brunei Darussalam,ASIA,1.348918565,,0,13567351175,,0,,,,,,0
BGR,Bulgaria,OECD90+EU,1.657041667,,0,65132951116,0.021,1367791973,,,,,,1367791973
BFA,Burkina Faso,MAF,555.7178304,,0,14124775069,,0,,,,,,0
BDI,Burundi,MAF,1782.876875,,0,3036931818,0.026,78960227.27,26300000,,,,,52660227.27
KHM,Cambodia,ASIA,4051.1669,,0,24542474061,,60000000,,60000000,,,,0
CMR,Cameroon,MAF,555.7178304,,0,38675205293,,150076163.5,,105089304,,44986859.57,,0
CAN,Canada,OECD90+EU,1.295817928,1.93E+11,1.49E+11,1.71E+12,0.084,1.49E+11,81029902211,2450189900,,65595635123,,
