"","country.code","region","Individuals","Health","Economy","General"
"1","AFG","ASIA",0,19362969.58,0,77451878.33
"2","AGO","MAF",0,4e+07,0,0
"3","ALB","OECD+",0,32410658.48,365777431.3,24681935.3
"4","ARE","MAF",0,0,4.4e+09,2815793057
"5","ARG","LAM",0,0,0,3701284567
"6","ARM","REF",0,0,0,137900000
"7","AUS","OECD+",96071591350,0,0,45884939152
"8","AUT","OECD+",0,4347826087,10879347825.696,33685869565
"9","AZE","REF",0,0,0,0
"10","BDI","MAF",26300000,0,0,52660227.27
"11","BEL","OECD+",4673913043,0,56521739130,10869565217
"12","BEN","MAF",0,0,0,10354274.63
"13","BFA","MAF",0,0,0,0
"14","BGD","ASIA",448085562.1,0,6589493560.1,0
"15","BGR","OECD+",0,0,0,1367791973
"16","BHR","MAF",14627659.57,470744680.9,0,1099967926
"17","BHS","LAM",11800000,4e+06,5e+07,8747000
"18","BIH","OECD+",0,18105168.13,301752802.2,858142029.7
"19","BLR","REF",0,0,0,0
"20","BLZ","LAM",0,0,0,18712031.64
"21","BOL","LAM",0,2e+08,2.19e+08,0
"22","BRA","LAM",0,0,0,149490087033
"23","BRB","LAM",0,0,0,0
"24","BRN","ASIA",0,0,0,0
"25","BTN","ASIA",0,2.6e+07,0,0
"26","BWA","MAF",0,46568741.59,98039455.98,60168010.37
"27","CAF","MAF",0,0,0,42177999.34
"28","CAN","OECD+",81029902211,2450189900,65595635123,0
"29","CHE","OECD+",0,0,50108226952,16361870025
"30","CHL","LAM",2e+09,0,3e+09,1.175e+10
"31","CHN","ASIA",0,0,0,340203796616
"32","CIV","MAF",0,129021143.5,774126860.8,129021143.5
"33","CMR","MAF",0,105089304,44986859.57,0
"34","COD","MAF",0,0,0,141682605.9
"35","COG","MAF",0,0,0,180218923.1
"36","COL","LAM",0,0,0,9269317122
"37","COM","MAF",0,0,0,0
"38","CPV","MAF",23551179.88,0,32115245.29,0
"39","CRI","LAM",0,0,0,0
"40","CUB","LAM",0,0,0,0
"41","CYP","OECD+",0,108695652.2,1630434.783,863586956.5
"42","CZE","OECD+",0,0,36195652174,10217391304
"43","DEU","OECD+",106521739130,0,902173913043,115217391304
"44","DJI","MAF",0,0,0,0
"45","DNK","OECD+",0,0,10670259873,22763221062
"46","DOM","LAM",0,0,0,5.76e+08
"47","DZA","MAF",0,0,0,0
"48","ECU","LAM",1.14e+08,0,5e+07,0
"49","EGY","MAF",0,450265.6179,2814160.112,2363894.494
"50","ERI","MAF",0,0,0,0
"51","ESP","OECD+",20052826087,4615217391,20654347826,5321739130
"52","EST","OECD+",271739130.4,231521739.1,1902173913.3,144565217.4
"53","ETH","MAF",9.17e+08,4.3e+08,0,2.93e+08
"54","EU","EU",0,260869565217,462600307.2,365841747519
"55","FIN","OECD+",4402173913,1086956522,5597826087.1,0
"56","FJI","OECD+",0,0,0,479068895.3
"57","FRA","OECD+",0,0,342391304348,119565217391
"58","GAB","MAF",0,0,0,6.78e+08
"59","GBR","OECD+",9339166698,19612250066,37356666792,0
"60","GEO","REF",0,138115506,434077304.6,0
"61","GHA","MAF",0,0,0,3.1e+08
"62","GMB","MAF",0,0,0,33500000
"63","GNB","MAF",9e+05,8e+05,0,0
"64","GNQ","MAF",0,4029713.115,0,0
"65","GRC","OECD+",0,0,2173913043,11413043478
"66","GTM","LAM",0,0,0,2667655229
"67","GUM","OECD+",0,0,0,0
"68","GUY","LAM",0,0,0,0
"69","HKG","ASIA",9057855457,3827262869,23792817503,0
"70","HND","LAM",287638685.2,215729013.9,0,1893621344
"71","HRV","OECD+",0,0,0,0
"72","HTI","LAM",19317442.34,38634884.68,0,77269769.35
"73","HUN","OECD+",0,947297476.7,8571685161,0
"74","IDN","ASIA",0,0,10535972823,20250139766
"75","IND","ASIA",0,0,0,29906054544
"76","IRL","OECD+",0,2e+09,5e+09,7456521739
"77","IRN","MAF",388920000,194460000,35262080000,28974540000
"78","IRQ","MAF",0,0,0,2.5e+07
"79","ISL","OECD+",0,0,0,2123726921
"80","ISR","MAF",5570164663,3063590565,11418837560,6127181130
"81","ITA","OECD+",10869565217,3478260870,447282608696,326086956.5
"82","JAM","LAM",0,0,0,172852997
"83","JOR","MAF",22535211.27,0,0,0
"84","JPN","OECD+",24856615399,0,795411692763,228680861670
"85","KAZ","REF",0,0,0,0
"86","KEN","MAF",0,0,0,394860596.9
"87","KGZ","REF",0,1.6e+07,1.5e+07,5.4e+08
"88","KHM","ASIA",0,6e+07,0,0
"89","KOR","ASIA",0,0,0,20263516583
"90","KWT","MAF",0,0,0,1.6e+09
"91","LAO","ASIA",0,0,0,6125401.161
"92","LBN","MAF",0,0,0,0
"93","LBR","MAF",0,0,0,0
"94","LBY","MAF",0,0,0,366309311.6
"95","LKA","ASIA",0,0,0,5e+06
